roundId,matchId,roundNumber,winCondition,winningTeamId,team1LoadoutTier,team2LoadoutTier,attackingTeamId,seriesId,teamOneId,teamTwoId,map,half,spikePlant,spikePlantRoundTimeMillis,defuse,defuseLeftTimeMillis,roundDurationMillis,spikeX,spikeY,sitePlant,atkPostPlant,defPostPlant
1265163,81102,1,kills,6868,,,6868,36474.0,6868.0,8224.0,Fracture,first,True,43623,False,,79048,147.0,524.0,B,5.0,4.0
1265164,81102,2,kills,6868,3.0,1.0,6868,36474.0,6868.0,8224.0,Fracture,first,True,24624,False,,49181,880.0,539.0,A,4.0,4.0
1265165,81102,3,kills,8224,3.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,,,,,37174,,,,,
1265166,81102,4,kills,6868,3.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,True,18980,False,,57040,866.0,537.0,A,4.0,2.0
1265167,81102,5,kills,8224,4.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,,,,,88699,,,,,
1265168,81102,6,kills,8224,2.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,,,,,22681,,,,,
1265169,81102,7,kills,8224,4.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,,,,,53939,,,,,
1265170,81102,8,kills,6868,3.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,True,44104,False,,84924,155.0,513.0,B,3.0,3.0
1265171,81102,9,defuse,8224,4.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,True,44595,True,3418,86177,859.0,453.0,A,3.0,5.0
1265172,81102,10,defuse,8224,3.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,True,90150,True,15481,119669,859.0,456.0,A,3.0,3.0
1265173,81102,11,kills,6868,2.0,4.0,6868,36474.0,6868.0,8224.0,Fracture,first,True,17798,False,,49184,858.0,579.0,A,4.0,4.0
1265174,81102,12,defuse,8224,4.0,3.0,6868,36474.0,6868.0,8224.0,Fracture,first,True,17134,True,21430,45777,163.0,536.0,B,5.0,4.0
1265175,81102,13,kills,8224,,,8224,36474.0,6868.0,8224.0,Fracture,second,POST-WIN,73435,,,73435,,,,,
1265176,81102,14,kills,8224,1.0,3.0,8224,36474.0,6868.0,8224.0,Fracture,second,True,35898,False,,52715,858.0,533.0,A,5.0,3.0
1265177,81102,15,kills,6868,4.0,3.0,8224,36474.0,6868.0,8224.0,Fracture,second,,,,,71068,,,,,
1265178,81102,16,kills,6868,4.0,2.0,8224,36474.0,6868.0,8224.0,Fracture,second,,,,,31987,,,,,
1265179,81102,17,bomb,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Fracture,second,True,21887,False,,40214,858.0,453.0,A,5.0,3.0
1265180,81102,18,kills,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Fracture,second,True,31731,False,,66304,858.0,468.0,A,3.0,3.0
1265181,81102,19,kills,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Fracture,second,True,70458,False,,97584,146.0,531.0,B,3.0,3.0
1265182,81102,20,kills,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Fracture,second,True,35317,False,,49712,136.0,544.0,B,5.0,3.0
1265245,81103,1,kills,8224,,,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265246,81103,2,kills,8224,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265247,81103,3,kills,8224,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265248,81103,4,kills,8224,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265249,81103,5,kills,8224,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265250,81103,6,kills,8224,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265251,81103,7,kills,8224,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265252,81103,8,kills,8224,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265253,81103,9,kills,6868,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265254,81103,10,kills,6868,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265255,81103,11,kills,6868,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265256,81103,12,kills,6868,1.0,1.0,6868,36474.0,6868.0,8224.0,Pearl,first,,,,,0,,,,,
1265257,81103,13,kills,6868,,,8224,36474.0,6868.0,8224.0,Pearl,second,,,,,0,,,,,
1265258,81103,14,kills,6868,1.0,1.0,8224,36474.0,6868.0,8224.0,Pearl,second,,,,,0,,,,,
1265259,81103,15,kills,6868,1.0,1.0,8224,36474.0,6868.0,8224.0,Pearl,second,,,,,0,,,,,
1265260,81103,16,kills,6868,1.0,1.0,8224,36474.0,6868.0,8224.0,Pearl,second,,,,,0,,,,,
1265261,81103,17,kills,6868,1.0,1.0,8224,36474.0,6868.0,8224.0,Pearl,second,,,,,0,,,,,
1265262,81103,18,kills,6868,1.0,1.0,8224,36474.0,6868.0,8224.0,Pearl,second,,,,,0,,,,,
1265263,81103,19,defuse,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Pearl,second,True,92941,True,20253,117688,173.0,470.0,B,3.0,2.0
1265264,81103,20,kills,6868,4.0,4.0,8224,36474.0,6868.0,8224.0,Pearl,second,True,28956,False,,55638,860.0,383.0,A,3.0,4.0
1265265,81103,21,defuse,8224,4.0,2.0,8224,36474.0,6868.0,8224.0,Pearl,second,True,38998,True,14831,69167,140.0,437.0,B,5.0,4.0
1265266,81103,22,defuse,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Pearl,second,True,34184,True,8798,70386,151.0,353.0,B,5.0,5.0
1265267,81103,23,kills,6868,4.0,4.0,8224,36474.0,6868.0,8224.0,Pearl,second,True,64950,False,,104486,142.0,469.0,B,3.0,4.0
1265268,81103,24,kills,6868,4.0,4.0,8224,36474.0,6868.0,8224.0,Pearl,second,,,,,71291,,,,,
1265287,81104,1,kills,6868,,,8224,36474.0,6868.0,8224.0,Bind,first,,,,,89636,,,,,
1265288,81104,2,kills,6868,3.0,1.0,8224,36474.0,6868.0,8224.0,Bind,first,,,,,66749,,,,,
1265289,81104,3,kills,8224,3.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,82821,False,,118716,697.0,354.0,A,2.0,1.0
1265290,81104,4,kills,8224,4.0,3.0,8224,36474.0,6868.0,8224.0,Bind,first,True,84846,False,,103151,697.0,354.0,A,3.0,1.0
1265291,81104,5,kills,8224,2.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,75358,False,,97596,697.0,356.0,A,3.0,2.0
1265292,81104,6,kills,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,36631,False,,51544,297.0,320.0,B,4.0,3.0
1265293,81104,7,kills,8224,3.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,41913,False,,61883,697.0,355.0,A,4.0,2.0
1265294,81104,8,kills,8224,3.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,75128,False,,101534,701.0,354.0,A,4.0,4.0
1265295,81104,9,kills,8224,2.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,73705,False,,90040,714.0,353.0,A,4.0,3.0
1265296,81104,10,defuse,6868,4.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,29713,True,19258,57324,282.0,320.0,B,3.0,3.0
1265297,81104,11,kills,8224,4.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,39939,False,,51038,273.0,307.0,B,4.0,2.0
1265298,81104,12,kills,8224,3.0,4.0,8224,36474.0,6868.0,8224.0,Bind,first,True,40203,False,,43493,696.0,355.0,A,2.0,1.0
1265299,81104,13,kills,6868,,,6868,36474.0,6868.0,8224.0,Bind,second,POST-WIN,60935,,,60935,,,,,
1265300,81104,14,kills,6868,3.0,1.0,6868,36474.0,6868.0,8224.0,Bind,second,True,74261,False,,97569,768.0,340.0,A,2.0,2.0
1265301,81104,15,kills,6868,4.0,4.0,6868,36474.0,6868.0,8224.0,Bind,second,POST-WIN,39969,,,39969,,,,,
1265302,81104,16,kills,6868,4.0,2.0,6868,36474.0,6868.0,8224.0,Bind,second,True,48504,False,,62440,696.0,354.0,A,4.0,1.0
1265303,81104,17,kills,8224,4.0,4.0,6868,36474.0,6868.0,8224.0,Bind,second,,,,,82726,,,,,
1265304,81104,18,bomb,6868,4.0,4.0,6868,36474.0,6868.0,8224.0,Bind,second,True,25826,False,,74969,695.0,366.0,A,3.0,3.0
1265305,81104,19,kills,6868,4.0,3.0,6868,36474.0,6868.0,8224.0,Bind,second,True,26843,False,,33699,291.0,320.0,B,5.0,3.0
1265306,81104,20,kills,8224,4.0,2.0,6868,36474.0,6868.0,8224.0,Bind,second,,,,,93825,,,,,
1265307,81104,21,defuse,8224,4.0,4.0,6868,36474.0,6868.0,8224.0,Bind,second,True,85714,True,34102,96612,284.0,300.0,B,1.0,4.0
1265308,81104,22,kills,8224,4.0,4.0,6868,36474.0,6868.0,8224.0,Bind,second,,,,,40256,,,,,
